airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No info,13044
Indigo,2019-06-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Spicejet,2019-05-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,3971
Air India,2019-05-24,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No info,12802
Spicejet,2019-05-18,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,No info,12346
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No info,9870
Indigo,2019-05-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,7191
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Air India,2019-06-12,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,8907
Jet Airways,2019-05-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Spicejet,2019-04-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No info,5932
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,05:05:00,730,1.0,No info,16736
Jet Airways,2019-04-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,21:20:00,695,2.0,No info,6653
Spicejet,2019-04-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No info,10976
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,2575
Multiple Carriers,2019-06-01,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No info,9646
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,8055
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No info,6558
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,13587
Air India,2019-06-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
Jet Airways,2019-06-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No info,9548
Air India,2019-05-01,Kolkata,Banglore,05:50:00,16:15:00,2065,2.0,No info,10991
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12898
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4077
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,10:25:00,1220,1.0,In-flight meal not included,7832
Spicejet,2019-05-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No info,14924
Air India,2019-06-06,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No info,11432
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Indigo,2019-03-21,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No info,6144
Indigo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Indigo,2019-03-03,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,14871
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,6442
Air India,2019-03-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,12677
Air India,2019-03-06,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No info,11552
Air India,2019-06-12,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No info,7662
